index,Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage,Current(A),Charge_Capacity,Discharge_Capacity,Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm)
0,01/27/2018 15:48:07.529,120.0008,120.0007,1,1,3.40012454986572,0,0,0,0,0,,
1,01/27/2018 15:50:07.528,240,239.9999,1,1,3.40078639984131,0,0,0,0,0,,
2,01/27/2018 15:52:07.529,360.0008,360.0007,1,1,3.40129566192627,0,0,0,0,0,,
3,01/27/2018 15:54:07.529,480.0008,480.0007,1,1,3.40168857574463,0,0,0,0,0,,
4,01/27/2018 15:56:07.529,600.0008,600.0007,1,1,3.40206050872803,0,0,0,0,0,,
5,01/27/2018 15:58:07.529,720.0008,720.0007,1,1,3.4024600982666,0,0,0,0,0,,
6,01/27/2018 16:00:07.529,840.0008,840.0007,1,1,3.40281963348389,0,0,0,0,0,,
7,01/27/2018 16:02:07.530,960.0016,960.0015,1,1,3.40316009521484,0,0,0,0,0,,
8,01/27/2018 16:04:07.530,1080.0016,1080.0015,1,1,3.40350914001465,0,0,0,0,0,,
9,01/27/2018 16:06:07.530,1200.0016,1200.0015,1,1,3.40384483337402,0,0,0,0,0,,
10,01/27/2018 16:08:07.529,1320.0008,1320.0007,1,1,3.40418815612793,0,0,0,0,0,,
11,01/27/2018 16:10:07.529,1440.0005,1440.0004,1,1,3.40454959869385,0,0,0,0,0,,
12,01/27/2018 16:12:07.530,1560.0016,1560.0015,1,1,3.40486335754395,0,0,0,0,0,,
13,01/27/2018 16:14:07.528,1680,1679.9999,1,1,3.40524005889893,0,0,0,0,0,,
14,01/27/2018 16:16:07.530,1800.0016,1800.0015,1,1,3.40559864044189,0,0,0,0,0,,
15,01/27/2018 16:18:07.530,1920.0016,1920.0015,1,1,3.40589904785156,0,0,0,0,0,,
16,01/27/2018 16:20:07.530,2040.0016,2040.0015,1,1,3.40622615814209,0,0,0,0,0,,
17,01/27/2018 16:22:07.529,2160.0008,2160.0007,1,1,3.40657424926758,0,0,0,0,0,,
18,01/27/2018 16:24:07.529,2280.0008,2280.0007,1,1,3.40689086914062,0,0,0,0,0,,
19,01/27/2018 16:26:07.528,2400,2399.9999,1,1,3.40720748901367,0,0,0,0,0,,
20,01/27/2018 16:28:07.530,2520.0016,2520.0015,1,1,3.40753841400146,0,0,0,0,0,,
21,01/27/2018 16:30:07.530,2640.0016,2640.0015,1,1,3.4078540802002,0,0,0,0,0,,
22,01/27/2018 16:32:07.528,2760,2759.9999,1,1,3.40816116333008,0,0,0,0,0,,
23,01/27/2018 16:34:07.529,2880.0008,2880.0007,1,1,3.40847778320312,0,0,0,0,0,,
24,01/27/2018 16:36:07.528,3000,2999.9999,1,1,3.40879535675049,0,0,0,0,0,,
25,01/27/2018 16:38:07.529,3120.0008,3120.0007,1,1,3.40908527374268,0,0,0,0,0,,
26,01/27/2018 16:40:07.530,3240.0016,3240.0015,1,1,3.40938949584961,0,0,0,0,0,,
27,01/27/2018 16:42:07.529,3360.0008,3360.0007,1,1,3.40969944000244,0,0,0,0,0,,
28,01/27/2018 16:44:07.530,3480.0016,3480.0015,1,1,3.41000366210937,0,0,0,0,0,,
29,01/27/2018 16:46:07.530,3600.0016,3600.0015,1,1,3.4102840423584,0,0,0,0,0,,
30,01/27/2018 16:46:07.531,3600.0032,3600.0031,1,1,3.41028308868408,0,0,0,0,0,,
31,01/27/2018 16:46:15.991,3608.462932,8.3808,2,1,4.19075870513916,3.24543952941895,0.009818892925978,4.506E-09,0.039506159722805,1.5352E-08,,
32,01/27/2018 16:48:16.005,3728.47706,120.0012,3,1,4.11605930328369,3.26022148132324,0.117684528231621,4.506E-09,0.483510702848434,1.5352E-08,,
33,01/27/2018 16:50:16.004,3848.47626,240.0004,3,1,4.14458560943604,3.26011848449707,0.226347580552101,4.506E-09,0.933098077774048,1.5352E-08,,
34,01/27/2018 16:52:16.005,3968.47696,360.0011,3,1,4.16768264770508,3.26022529602051,0.335011899471283,4.506E-09,1.38439309597015,1.5352E-08,,
35,01/27/2018 16:54:16.005,4088.47706,480.0012,3,1,4.19100761413574,3.2601146697998,0.443672031164169,4.506E-09,1.83839190006256,1.5352E-08,,
36,01/27/2018 16:56:16.005,4208.47636,600.0005,3,1,4.21579265594482,3.26020431518555,0.552343666553497,4.506E-09,2.29526495933533,1.5352E-08,,
37,01/27/2018 16:58:16.004,4328.47616,720.0003,3,1,4.2385892868042,3.26014709472656,0.661011576652527,4.506E-09,2.75464582443237,1.5352E-08,,
38,01/27/2018 17:00:16.005,4448.47696,840.0011,3,1,4.26132965087891,3.26023292541504,0.769680798053741,4.506E-09,3.21639728546143,1.5352E-08,,
39,01/27/2018 17:02:16.004,4568.47616,960.0003,3,1,4.39986038208008,2.86338424682617,0.867295145988464,4.506E-09,3.64241623878479,1.5352E-08,,
40,01/27/2018 17:04:16.005,4688.47686,1080.001,3,1,4.39999198913574,2.78836441040039,0.969443380832672,4.506E-09,4.08907270431519,1.5352E-08,,
41,01/27/2018 17:06:16.004,4808.47606,1200.0002,3,1,4.31074714660645,3.26010131835937,1.07496178150177,4.506E-09,4.54571008682251,1.5352E-08,,
42,01/27/2018 17:08:16.005,4928.47686,1320.001,3,1,4.33070278167725,3.26015090942383,1.18361353874207,4.506E-09,5.0151834487915,1.5352E-08,,
43,01/27/2018 17:10:16.004,5048.47606,1440.0002,3,1,4.35232257843018,3.2601432800293,1.29229998588562,4.506E-09,5.48704814910889,1.5352E-08,,
44,01/27/2018 17:12:16.004,5168.47616,1560.0003,3,1,4.37585735321045,3.26021957397461,1.40095663070679,4.506E-09,5.96122884750366,1.5352E-08,,
45,01/27/2018 17:14:16.005,5288.47706,1680.0012,3,1,4.40027904510498,3.24891662597656,1.50963830947876,4.506E-09,6.4381594657898,1.5352E-08,,
46,01/27/2018 17:16:16.004,5408.47626,1800.0004,3,1,4.40008068084717,3.01376914978027,1.61367869377136,4.506E-09,6.89595937728882,1.5352E-08,,
47,01/27/2018 17:18:16.005,5528.47696,1920.0011,3,1,4.40023803710938,2.80506134033203,1.71066761016846,4.506E-09,7.32273149490356,1.5352E-08,,
48,01/27/2018 17:20:16.007,5648.47866,2040.0028,3,1,4.40021419525147,2.6112003326416,1.80086302757263,4.506E-09,7.71961116790772,1.5352E-08,,
49,01/27/2018 17:22:16.004,5768.47616,2160.0003,3,1,4.40017318725586,2.43945503234863,1.88497042655945,4.506E-09,8.08970260620117,1.5352E-08,,
50,01/27/2018 17:24:16.005,5888.47696,2280.0011,3,1,4.40024089813232,2.28684043884277,1.96367037296295,4.506E-09,8.43599891662598,1.5352E-08,,
51,01/27/2018 17:26:16.005,6008.47706,2400.0012,3,1,4.40014362335205,2.13815307617187,2.03742218017578,4.506E-09,8.76052188873291,1.5352E-08,,
52,01/27/2018 17:28:16.005,6128.47696,2520.0011,3,1,4.40019130706787,2.00578689575195,2.10626816749573,4.506E-09,9.06345462799072,1.5352E-08,,
53,01/27/2018 17:30:16.006,6248.47776,2640.0019,3,1,4.40021514892578,1.82747077941895,2.16986894607544,4.506E-09,9.34330654144287,1.5352E-08,,
54,01/27/2018 17:32:16.004,6368.47616,2760.0003,3,1,4.40017986297607,1.72447967529297,2.22901940345764,4.506E-09,9.60357856750488,1.5352E-08,,
55,01/27/2018 17:34:16.004,6488.47616,2880.0003,3,1,4.40019035339356,1.63398933410645,2.28499507904053,4.506E-09,9.84988117218018,1.5352E-08,,
56,01/27/2018 17:36:16.005,6608.47706,3000.0012,3,1,4.39966201782227,1.53368186950684,2.33796977996826,4.506E-09,10.0829782485962,1.5352E-08,,
57,01/27/2018 17:38:16.004,6728.47616,3120.0003,3,1,4.40018177032471,1.49847412109375,2.38959693908691,4.506E-09,10.3101453781128,1.5352E-08,,
58,01/27/2018 17:40:16.004,6848.47616,3240.0003,3,1,4.40024852752686,1.40081691741943,2.43801522254944,4.506E-09,10.5231924057007,1.5352E-08,,
59,01/27/2018 17:42:16.005,6968.47696,3360.0011,3,1,4.40024852752686,1.34221172332764,2.48406434059143,4.506E-09,10.7258148193359,1.5352E-08,,
60,01/27/2018 17:44:16.004,7088.47596,3480.0001,3,1,4.4001350402832,1.26688480377197,2.52748560905457,4.506E-09,10.9168748855591,1.5352E-08,,
61,01/27/2018 17:46:16.005,7208.47696,3600.0011,3,1,4.40018177032471,1.19581127166748,2.56851840019226,4.506E-09,11.0974273681641,1.5352E-08,,
62,01/27/2018 17:48:16.005,7328.47696,3720.0011,3,1,4.40019989013672,1.12842559814453,2.60723853111267,4.506E-09,11.2678022384644,1.5352E-08,,
63,01/27/2018 17:50:16.005,7448.47696,3840.0011,3,1,4.40015411376953,1.06458950042725,2.6437656879425,4.506E-09,11.4285268783569,1.5352E-08,,
64,01/27/2018 17:52:16.004,7568.47616,3960.0003,3,1,4.40006732940674,1.00284194946289,2.67823719978333,4.506E-09,11.5802068710327,1.5352E-08,,
65,01/27/2018 17:54:16.005,7688.47706,4080.0012,3,1,4.40012931823731,0.946041107177734,2.71073579788208,4.506E-09,11.7232055664063,1.5352E-08,,
66,01/27/2018 17:56:16.005,7808.47696,4200.0011,3,1,4.40017318725586,0.892702102661133,2.74136447906494,4.506E-09,11.8579778671265,1.5352E-08,,
67,01/27/2018 17:58:16.004,7928.47616,4320.0003,3,1,4.40016651153564,0.841571807861328,2.77024269104004,4.506E-09,11.9850463867188,1.5352E-08,,
68,01/27/2018 18:00:16.004,8048.47616,4440.0003,3,1,4.40013694763184,0.791945457458496,2.79745817184448,4.506E-09,12.1047983169556,1.5352E-08,,
69,01/27/2018 18:02:16.004,8168.47616,4560.0003,3,1,4.40016746520996,0.746369361877441,2.82309198379517,4.506E-09,12.2175912857056,1.5352E-08,,
70,01/27/2018 18:04:16.004,8288.47606,4680.0002,3,1,4.40009498596191,0.702541351318359,2.84723520278931,4.506E-09,12.3238248825073,1.5352E-08,,
71,01/27/2018 18:06:16.005,8408.47686,4800.001,3,1,4.40015697479248,0.662287712097168,2.86997723579407,4.506E-09,12.4238929748535,1.5352E-08,,
72,01/27/2018 18:06:46.858,8439.33026,4830.8544,3,1,4.40014457702637,0.651993751525879,2.87560844421387,4.506E-09,12.4486713409424,1.5352E-08,,
73,01/27/2018 18:08:46.902,8559.373824,120.0001,4,1,4.29470252990723,0,2.87560892105103,4.506E-09,12.448673248291,1.5352E-08,,
74,01/27/2018 18:10:46.902,8679.373824,240.0001,4,1,4.28150653839111,0,2.87560892105103,4.506E-09,12.448673248291,1.5352E-08,,
75,01/27/2018 18:11:46.904,8739.376024,300.0023,4,1,4.27730560302734,0,2.87560892105103,4.506E-09,12.448673248291,1.5352E-08,,
76,01/27/2018 18:13:46.983,8859.453852,120.0002,5,1,3.74946975708008,-3.26011371612549,2.87560892105103,0.1086479,12.448673248291,0.4160075,,
77,01/27/2018 18:15:46.983,8979.453852,240.0002,5,1,3.67502021789551,-3.25961875915527,2.87560892105103,0.217318,12.448673248291,0.819078,,
78,01/27/2018 18:17:46.983,9099.453852,360.0002,5,1,3.62062931060791,-3.26005363464355,2.87560892105103,0.3259882,12.448673248291,1.21539,,
79,01/27/2018 18:19:46.983,9219.454652,480.001,5,1,3.57625484466553,-3.2599630355835,2.87560892105103,0.4346456,12.448673248291,1.606324,,
80,01/27/2018 18:21:46.983,9339.453852,600.0002,5,1,3.53947925567627,-3.26001834869385,2.87560892105103,0.5433064,12.448673248291,1.992872,,
81,01/27/2018 18:23:46.983,9459.453852,720.0002,5,1,3.50789737701416,-3.26009368896484,2.87560892105103,0.651976,12.448673248291,2.37575,,
82,01/27/2018 18:25:46.983,9579.453852,840.0002,5,1,3.48004245758057,-3.26015090942383,2.87560892105103,0.7606398,12.448673248291,2.755396,,
83,01/27/2018 18:27:46.983,9699.453852,960.0002,5,1,3.45368003845215,-3.26000022888184,2.87560892105103,0.8693036,12.448673248291,3.132087,,
84,01/27/2018 18:29:46.983,9819.454652,1080.001,5,1,3.42865753173828,-3.25997447967529,2.87560892105103,0.9779682,12.448673248291,3.505997,,
85,01/27/2018 18:31:46.983,9939.454652,1200.001,5,1,3.40421485900879,-3.26000499725342,2.87560892105103,1.086628,12.448673248291,3.877226,,
